Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net
12-Mar-2026,15373.05,22422.92,-7049.87,19439.56,11989.79,7449.77
11-Mar-2026,11448.68,17715.99,-6267.31,16044.16,11078.63,4965.53
10-Mar-2026,13188.32,17860.96,-4672.64,17202.49,10869.23,6333.26
09-Mar-2026,11156.99,17502.56,-6345.57,21586.46,12572.66,9013.8
06-Mar-2026,14434.69,20465.07,-6030.38,19662.38,12690.87,6971.51
05-Mar-2026,14914.99,18667.51,-3752.52,18821.1,13667.73,5153.37
04-Mar-2026,19120.99,27873.64,-8752.65,26259.37,14191.2,12068.17
02-Mar-2026,12737.34,16032.98,-3295.64,21110.66,12516.79,8593.87
27-Feb-2026,36699.66,44236.02,-7536.36,24867.72,12574.91,12292.81
26-Feb-2026,14607.9,18073.89,-3465.99,19242.72,14211.15,5031.57
25-Feb-2026,30369.48,27377.84,2991.64,18346.49,13227.92,5118.57
24-Feb-2026,20550.91,20653.44,-102.53,18580.96,15419.74,3161.22
23-Feb-2026,15294.02,11810.32,3483.7,12360.86,13653.1,-1292.24
20-Feb-2026,10010.06,10944.67,-934.61,14901.9,12264.75,2637.15
19-Feb-2026,8614.9,9495.39,-880.49,11483.86,12080.14,-596.28
18-Feb-2026,9720.92,8566.58,1154.34,12143.76,11703.42,440.34
17-Feb-2026,8867.62,7872.41,995.21,12482.64,12295.6,187.04
16-Feb-2026,9169.39,10141.52,-972.13,13121.31,11454.33,1666.98
13-Feb-2026,14586.73,21982.14,-7395.41,20605.87,15051.91,5553.96
12-Feb-2026,17949.52,17841.1,108.42,17213.85,16937.0,276.85
11-Feb-2026,16858.63,15914.82,943.81,14281.26,14406.62,-125.36
10-Feb-2026,16699.82,16630.37,69.45,15262.9,14088.69,1174.21
09-Feb-2026,16066.13,13811.49,2254.64,13572.99,13568.84,4.15
06-Feb-2026,16718.66,14767.89,1950.77,13215.74,14480.8,-1265.06
05-Feb-2026,14630.07,16780.58,-2150.51,15182.18,14052.36,1129.82
04-Feb-2026,18453.01,18423.22,29.79,18631.78,18382.24,249.54
03-Feb-2026,27677.68,22441.4,5236.28,28206.21,27191.97,1014.24
02-Feb-2026,15172.55,17005.01,-1832.46,18626.43,16180.1,2446.33
01-Feb-2026,598.29,1186.63,-588.34,14390.79,15073.52,-682.73
30-Jan-2026,30492.98,28241.61,2251.37,18590.13,19191.16,-601.03
29-Jan-2026,20212.73,20606.7,-393.97,24423.89,21785.13,2638.76
28-Jan-2026,21044.5,20564.24,480.26,19578.39,16217.8,3360.59
27-Jan-2026,29666.67,32735.16,-3068.49,23929.34,14929.63,8999.71
23-Jan-2026,13550.25,17663.63,-4113.38,18258.75,14156.19,4102.56
22-Jan-2026,16873.2,19423.0,-2549.8,17537.49,13314.51,4222.98
21-Jan-2026,15370.98,17158.64,-1787.66,17387.34,12866.87,4520.47
20-Jan-2026,14215.11,17153.44,-2938.33,18529.36,14863.67,3665.69
19-Jan-2026,12379.75,15642.57,-3262.82,17887.61,13653.31,4234.3
16-Jan-2026,20159.84,24505.97,-4346.13,19135.42,15200.11,3935.31
14-Jan-2026,13121.23,17902.47,-4781.24,19930.32,14713.04,5217.28
13-Jan-2026,11994.92,13494.73,-1499.81,15445.22,14263.44,1181.78
12-Jan-2026,9071.61,12710.01,-3638.4,16985.9,11146.58,5839.32
09-Jan-2026,11093.29,14862.6,-3769.31,18481.07,12885.23,5595.84
08-Jan-2026,11090.27,14457.39,-3367.12,18707.23,15006.06,3701.17
07-Jan-2026,14663.53,16191.24,-1527.71,18364.76,15475.44,2889.32
06-Jan-2026,15061.18,15168.81,-107.63,17240.41,15491.06,1749.35
05-Jan-2026,11277.44,11313.69,-36.25,15565.79,13801.72,1764.07
02-Jan-2026,7850.45,7560.65,289.8,15349.56,14672.18,677.38
01-Jan-2026,1067.64,4336.24,-3268.6,13045.31,11519.42,1525.89
