FII Rs Crores,,,DII Rs Crores,,,
Date,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
Total,339315.95,345956.73,-6640.78,346722.22,308299.11,38423.11
27-Feb-2026,"36,699.66","44,236.02","-7,536.36","24,867.72","12,574.91","12,292.81"
26-Feb-2026,"14,607.90","18,073.89","-3,465.99","19,242.72","14,211.15","5,031.57"
25-Feb-2026,"30,369.48","27,377.84","2,991.64","18,346.49","13,227.92","5,118.57"
24-Feb-2026,"20,550.91","20,653.44",-102.53,"18,580.96","15,419.74","3,161.22"
23-Feb-2026,"15,294.02","11,810.32","3,483.70","12,360.86","13,653.10","-1,292.24"
20-Feb-2026,"10,010.06","10,944.67",-934.61,"14,901.90","12,264.75","2,637.15"
19-Feb-2026,"8,614.90","9,495.39",-880.49,"11,483.86","12,080.14",-596.28
18-Feb-2026,"9,720.92","8,566.58","1,154.34","12,143.76","11,703.42",440.34
17-Feb-2026,"8,867.62","7,872.41",995.21,"12,482.64","12,295.60",187.04
16-Feb-2026,"9,169.39","10,141.52",-972.13,"13,121.31","11,454.33","1,666.98"
13-Feb-2026,"14,586.73","21,982.14","-7,395.41","20,605.87","15,051.91","5,553.96"
12-Feb-2026,"17,949.52","17,841.10",108.42,"17,213.85","16,937.00",276.85
11-Feb-2026,"16,858.63","15,914.82",943.81,"14,281.26","14,406.62",-125.36
10-Feb-2026,"16,699.82","16,630.37",69.45,"15,262.90","14,088.69","1,174.21"
09-Feb-2026,"16,066.13","13,811.49","2,254.64","13,572.99","13,568.84",4.15
06-Feb-2026,"16,718.66","14,767.89","1,950.77","13,215.74","14,480.80","-1,265.06"
05-Feb-2026,"14,630.07","16,780.58","-2,150.51","15,182.18","14,052.36","1,129.82"
04-Feb-2026,"18,453.01","18,423.22",29.79,"18,631.78","18,382.24",249.54
03-Feb-2026,"27,677.68","22,441.40","5,236.28","28,206.21","27,191.97","1,014.24"
02-Feb-2026,"15,172.55","17,005.01","-1,832.46","18,626.43","16,180.10","2,446.33"
01-Feb-2026,598.29,"1,186.63",-588.34,"14,390.79","15,073.52",-682.73
