FII Rs Crores,,,DII Rs Crores,,,
Date,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
Total,300257.57,341692.79,-41435.22,364373.29,295152.55,69220.74
30-Jan-2026,"30,492.98","28,241.61","2,251.37","18,590.13","19,191.16",-601.03
29-Jan-2026,"20,212.73","20,606.70",-393.97,"24,423.89","21,785.13","2,638.76"
28-Jan-2026,"21,044.50","20,564.24",480.26,"19,578.39","16,217.80","3,360.59"
27-Jan-2026,"29,666.67","32,735.16","-3,068.49","23,929.34","14,929.63","8,999.71"
23-Jan-2026,"13,550.25","17,663.63","-4,113.38","18,258.75","14,156.19","4,102.56"
22-Jan-2026,"16,873.20","19,423.00","-2,549.80","17,537.49","13,314.51","4,222.98"
21-Jan-2026,"15,370.98","17,158.64","-1,787.66","17,387.34","12,866.87","4,520.47"
20-Jan-2026,"14,215.11","17,153.44","-2,938.33","18,529.36","14,863.67","3,665.69"
19-Jan-2026,"12,379.75","15,642.57","-3,262.82","17,887.61","13,653.31","4,234.30"
16-Jan-2026,"20,159.84","24,505.97","-4,346.13","19,135.42","15,200.11","3,935.31"
14-Jan-2026,"13,121.23","17,902.47","-4,781.24","19,930.32","14,713.04","5,217.28"
13-Jan-2026,"11,994.92","13,494.73","-1,499.81","15,445.22","14,263.44","1,181.78"
12-Jan-2026,"9,071.61","12,710.01","-3,638.40","16,985.90","11,146.58","5,839.32"
09-Jan-2026,"11,093.29","14,862.60","-3,769.31","18,481.07","12,885.23","5,595.84"
08-Jan-2026,"11,090.27","14,457.39","-3,367.12","18,707.23","15,006.06","3,701.17"
07-Jan-2026,"14,663.53","16,191.24","-1,527.71","18,364.76","15,475.44","2,889.32"
06-Jan-2026,"15,061.18","15,168.81",-107.63,"17,240.41","15,491.06","1,749.35"
05-Jan-2026,"11,277.44","11,313.69",-36.25,"15,565.79","13,801.72","1,764.07"
02-Jan-2026,"7,850.45","7,560.65",289.8,"15,349.56","14,672.18",677.38
01-Jan-2026,"1,067.64","4,336.24","-3,268.60","13,045.31","11,519.42","1,525.89"
