FII Rs Crores,,,DII Rs Crores,,,
Date,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
,,,,,,
13-Mar-2026,"11,923.16","22,639.80","-10,716.64","22,707.84","12,730.42","9,977.42"
12-Mar-2026,"15,373.05","22,422.92","-7,049.87","19,439.56","11,989.79","7,449.77"
11-Mar-2026,"11,448.68","17,715.99","-6,267.31","16,044.16","11,078.63","4,965.53"
10-Mar-2026,"13,188.32","17,860.96","-4,672.64","17,202.49","10,869.23","6,333.26"
09-Mar-2026,"11,156.99","17,502.56","-6,345.57","21,586.46","12,572.66","9,013.80"
06-Mar-2026,"14,434.69","20,465.07","-6,030.38","19,662.38","12,690.87","6,971.51"
05-Mar-2026,"14,914.99","18,667.51","-3,752.52","18,821.10","13,667.73","5,153.37"
04-Mar-2026,"19,120.99","27,873.64","-8,752.65","26,259.37","14,191.20","12,068.17"
02-Mar-2026,"12,737.34","16,032.98","-3,295.64","21,110.66","12,516.79","8,593.87"
16-Mar-2026,"11,566.51","20,932.03","-9,365.52","25,150.41","12,557.05","12,593.36"
17-Mar-2026,"11,903.71","16,644.93","-4,741.22","16,762.65","11,537.33","5,225.32"
18-Mar-2026,"12,798.80","15,513.15","-2,714.35","16,105.20","12,852.17","3,253.03"
